Processes,Size,Time_ms,GFLOPS,Speedup,Efficiency
4,200,20.358,0.79,2.14,53.49
4,400,79.47,1.61,4.01,100.26
4,800,701.61,1.46,3.82,95.41
4,1200,2686.76,1.29,3.62,90.43
4,1600,7249.32,1.13,3.38,84.59
4,2000,23032.74,0.69,4.53,113.15
